English,Polish
part,część
history,historia
search,szukaj
only,tylko
police,Policja
thought,myśl
help,pomoc
request,wniosek
kind,Uprzejmy
month,miesiąc
brother,brat
let,pozwalać
because,ponieważ
to put,położyć
no,NIE
leash,smycz
them,ich
city,miasto
each,każdy
speak,mówić
come,przychodzić
should,powinien
baby,Dziecko
long time,długi czas
hours,godziny
will,będzie
while,chwila
meet again,spotkają się ponownie
any,każdy
square,kwadrat
speak,mówić
understood,zrozumiany
knew,Wiedziałem
were,był
Warning,Ostrzeżenie
here is,tutaj jest
could,mógł
case,sprawa
give,dawać
type,typ
their,ich
given,dany
train,pociąg
body,ciało
place,miejsce
eyes,oczy
way,sposób
listen,Słuchać
whose,którego
find,znajdować
first,Pierwszy
lost,zaginiony
hand,ręka
first,Pierwszy
side,strona
power,moc
old,stary
be,Być
here,Tutaj
morning,Poranek
so much,aż tak bardzo
child,dziecko
point,punkt
came,wszedł
after,Po
sorry,Przepraszam
come,przychodzić
in front of,przed
towards,w kierunku
minutes,minuty
request,wniosek
bedroom,sypialnia
placed,umieszczony
beautiful,Piękny
law,prawo
would like to,chciałby
today,Dzisiaj
husband,mąż
cause,przyczyna
finally,Wreszcie
hope,mieć nadzieję
water,woda
Wait,Czekać
left,lewy
new,nowy
job,stanowisko
Stop,Zatrzymywać się
would say,powiedziałbym
Earth,Ziemia
account,konto
given,dany
far,daleko
end,koniec
believe,uważać
sweetheart,kochanie
large,duży
rather,raczej
will have,będzie miał
girls,dziewczyny
to play,grać
office,biuro